,drug,MOAs
123,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,FLT3 inhibitor
155,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,DNA methyltransferase inhibitor
196,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,biliverdin reductase A activator|G protein-coupled receptor agonist
141,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,cyclooxygenase inhibitor|histone acetyltransferase inhibitor|lipoxygenase inhibitor|NFkB pathway inhibitor
2,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,None
64,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,Aurora kinase inhibitor
208,CC1=CC(=O)c2ccccc2C1=O,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor
151,O=C1c2ccccc2-c2n[nH]c3cccc1c23,JNK inhibitor
206,CN1C(=O)C(Cc2c[nH]c3ccccc23)NC1=S,RIPK inhibitor
122,COc1ccc2[nH]c(C(=O)c3ccccc3)cc2c1,microtubule inhibitor
182,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,FLT3 inhibitor|JAK inhibitor
183,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,norepinephrine reuptake inhibitor|serotoninñnorepinephrine reuptake inhibitor (SNRI)
185,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,FGFR inhibitor|VEGFR inhibitor
204,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,acetylcholine receptor antagonist
169,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor|tyrosine kinase inhibitor
81,CNCCC=C1c2ccccc2CCc2ccccc21,tricyclic antidepressant
91,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,IKK inhibitor
175,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
205,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,opioid receptor agonist
29,C=C1/C(=C\C=C2CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,vitamin D receptor agonist
129,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,serotonin receptor agonist|serotonin receptor antagonist
150,O=C(O)c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,coloring agent
162,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,RNA synthesis inhibitor|topoisomerase inhibitor
86,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,ATM kinase inhibitor
78,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,matrix metalloprotease inhibitor
45,Nc1nc(Nc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,adenosine receptor agonist
108,c1ccc(-c2n[nH]c3c2oc2ccccc23)cc1,FLT3 inhibitor|tyrosine kinase inhibitor
87,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,KIT inhibitor|VEGFR inhibitor
90,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
195,Cc1cc(CCc2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,androgen receptor antagonist
101,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,rho associated kinase inhibitor
156,NS(=O)(=O)C#Cc1ccccc1,HSP inhibitor
174,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(C=Cc3ccccc3)n2)n[nH]1,Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor
184,Nc1c2c(nc3ccccc13)CCCC2,acetylcholinesterase inhibitor
118,CN1CCN2c3ncccc3Cc3ccccc3C2C1,adrenergic receptor antagonist|serotonin receptor antagonist
117,Oc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,sphingosine kinase inhibitor
85,CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1,PARP inhibitor
68,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,mTOR inhibitor
159,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor
65,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,HMGCR inhibitor
140,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,acetylcholine receptor agonist
60,COC(=O)Nc1nc2ccc(S(=O)c3ccccc3)cc2[nH]1,anthelmintic agent
201,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,JAK inhibitor
22,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor
48,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,VEGFR inhibitor
113,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor
181,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,pyruvate ferredoxin oxidoreductase inhibitor
133,O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1,ATM kinase inhibitor|ATR kinase inhibitor
99,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,T-type calcium channel blocker
136,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,laxative
13,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,IKK inhibitor|NFkB pathway inhibitor
52,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,ATPase inhibitor|gastrin inhibitor
160,COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1,serotonin receptor antagonist
56,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor
165,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,norepinephrine reputake inhibitor
73,O=C(C=Cc1ccccc1)NC(NC(=S)Nc1cccc2cccnc12)C(Cl)(Cl)Cl,eukaryotic translation initiation factor inhibitor
126,Cn1cncc1[C@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C,farnesyltransferase inhibitor
46,CCOC(=O)c1ncc2[nH]c3cccc(OC(C)C)c3c2c1C,benzodiazepine receptor antagonist
135,C[C@]12CCC3c4ccc(O)cc4CCC3C1CCC2=O,estrogen receptor agonist|estrogenic hormone
104,C#C[C@]1(O)CCC2C3CCC4=Cc5oncc5C[C@]4(C)C3CC[C@@]21C,estrogen receptor antagonist|progesterone receptor agonist
130,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor
30,CC(=O)Oc1ccc(-c2cc(=O)c3c(OC(C)=O)cc(OC(C)=O)cc3o2)cc1,casein kinase inhibitor|cell proliferation inhibitor
192,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,Bruton's tyrosine kinase (BTK) inhibitor
152,C=C1C(=O)O[C@H]2[C@H]1CCC(C)=CCC[C@@]1(C)O[C@H]21,NFkB pathway inhibitor
36,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,serotonin receptor agonist
114,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,ribonucleotide reductase inhibitor
120,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|src inhibitor
98,Cc1cc(C)c(N(Cc2ccccc2)S(=O)(=O)c2ccc(OCCNC(=O)c3cc4ccccc4o3)cc2)c(C(=O)NO)c1,metalloproteinase inhibitor
172,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,guanylate cyclase activator
69,c1ccc2c(Oc3nc(Nc4ccc(N5CCOCC5)cc4)c4ncn(C5CCCCC5)c4n3)cccc2c1,smoothened receptor agonist
38,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,selective serotonin reuptake inhibitor (SSRI)
110,COc1cc(NC(C)CCCN)c2ncccc2c1,antimalarial agent|DNA inhibitor
1,O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12,PKA inhibitor
105,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,antibacterial agent
12,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,PI3K inhibitor
188,CC(=O)NC1=NN(C(C)=O)C(C)(c2ccccc2)S1,kinesin-like spindle protein inhibitor
50,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,DNA dependent protein kinase inhibitor|mTOR inhibitor|PI3K inhibitor
89,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,angiotensin receptor antagonist
31,O=C1Nc2ccccc2C1=C1Nc2ccccc2C1=NO,CDK inhibitor|glycogen synthase kinase inhibitor
66,CC(C=CC=C(C)/C=C/C1=C(C)CCCC1(C)C)=CC(=O)Nc1ccc(O)cc1,apoptosis stimulant|retinoid receptor agonist
207,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor
67,C#C[C@]1(O)CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21C,progesterone receptor agonist
144,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,angiotensin converting enzyme inhibitor
42,C[C@@H]1CC[C@H]2[C@@H](C)C(OC(=O)CCC(=O)O)OC3O[C@]4(C)CC[C@@H]1[C@]32OO4,DNA synthesis inhibitor
186,c1ccc2[nH]c(-c3cscn3)nc2c1,angiogenesis inhibitor
