"","x"
"65","AICHI001_BJAB_24H:H01"
"66","AICHI001_BJAB_24H:H07"
"67","AICHI001_BJAB_24H:I01"
"68","AICHI001_BJAB_24H:I13"
"69","AICHI001_BJAB_24H:J07"
"70","AICHI001_BJAB_24H:K01"
"71","AICHI001_BJAB_24H:K13"
"72","AICHI001_BJAB_24H:K19"
"73","AICHI001_BJAB_24H:L01"
"74","AICHI001_BJAB_24H:N01"
"75","AICHI001_BJAB_24H:N07"
"76","AICHI001_HBL1_24H:A07"
"77","AICHI001_HBL1_24H:A13"
"78","AICHI001_HBL1_24H:B07"
"79","AICHI001_HBL1_24H:C07"
"80","AICHI001_HBL1_24H:D01"
"81","AICHI001_HBL1_24H:E19"
"82","AICHI001_HBL1_24H:F19"
"83","AICHI001_HBL1_24H:H01"
"84","AICHI001_HBL1_24H:M07"
"85","AICHI001_HBL1_24H:N01"
"86","AICHI001_K562_24H:A07"
"87","AICHI001_K562_24H:A13"
"88","AICHI001_K562_24H:A19"
"89","AICHI001_K562_24H:B07"
"90","AICHI001_K562_24H:B13"
"91","AICHI001_K562_24H:B19"
"92","AICHI001_K562_24H:C01"
"93","AICHI001_K562_24H:C07"
"94","AICHI001_K562_24H:D01"
"95","AICHI001_K562_24H:D07"
"96","AICHI001_K562_24H:D19"
"97","AICHI001_K562_24H:E19"
"98","AICHI001_K562_24H:F19"
"99","AICHI001_K562_24H:G01"
"100","AICHI001_K562_24H:H01"
"101","AICHI001_K562_24H:H07"
"102","AICHI001_K562_24H:H13"
"103","AICHI001_K562_24H:I01"
"104","AICHI001_K562_24H:I13"
"105","AICHI001_K562_24H:K01"
"106","AICHI001_K562_24H:K13"
"107","AICHI001_K562_24H:K19"
"108","AICHI001_K562_24H:M01"
"109","AICHI001_K562_24H:M07"
"110","AICHI001_K562_24H:M13"
"111","AICHI001_K562_24H:N01"
"112","AICHI001_K562_24H:N07"
"113","AICHI001_K562_24H:P01"
"114","AICHI001_K562_24H:P13"
"115","AICHI001_KMS34_24H:A13"
"116","AICHI001_KMS34_24H:A19"
"117","AICHI001_KMS34_24H:B07"
"118","AICHI001_KMS34_24H:B13"
"119","AICHI001_KMS34_24H:B19"
"120","AICHI001_KMS34_24H:C01"
"121","AICHI001_KMS34_24H:C07"
"122","AICHI001_KMS34_24H:D01"
"123","AICHI001_KMS34_24H:D19"
"124","AICHI001_KMS34_24H:E19"
"125","AICHI001_KMS34_24H:F19"
"126","AICHI001_KMS34_24H:G01"
"127","AICHI001_KMS34_24H:H07"
"128","AICHI001_KMS34_24H:H13"
"129","AICHI001_KMS34_24H:I01"
"130","AICHI001_KMS34_24H:I13"
"131","AICHI001_KMS34_24H:J07"
"132","AICHI001_KMS34_24H:K01"
"133","AICHI001_KMS34_24H:K13"
"134","AICHI001_KMS34_24H:L01"
"135","AICHI001_KMS34_24H:M01"
"136","AICHI001_KMS34_24H:M07"
"137","AICHI001_KMS34_24H:M13"
"138","AICHI001_KMS34_24H:N07"
"139","AICHI001_KMS34_24H:O13"
"140","AICHI001_KMS34_24H:P13"
"141","AICHI001_MINO_24H:A07"
"142","AICHI001_MINO_24H:A13"
"143","AICHI001_MINO_24H:B07"
"144","AICHI001_MINO_24H:B13"
"145","AICHI001_MINO_24H:B19"
"146","AICHI001_MINO_24H:C01"
"147","AICHI001_MINO_24H:D07"
"148","AICHI001_MINO_24H:D19"
"149","AICHI001_MINO_24H:F19"
"150","AICHI001_MINO_24H:H07"
"151","AICHI001_MINO_24H:H13"
"152","AICHI001_MINO_24H:I01"
"153","AICHI001_MINO_24H:I13"
"154","AICHI001_MINO_24H:K01"
"155","AICHI001_MINO_24H:K13"
"156","AICHI001_MINO_24H:L01"
"157","AICHI001_MINO_24H:M01"
"158","AICHI001_MINO_24H:M13"
"159","AICHI001_MINO_24H:N01"
"160","AICHI001_MINO_24H:N07"
"161","AICHI001_MINO_24H:P13"
"162","AICHI001_NALM6_24H:A13"
"163","AICHI001_NALM6_24H:A19"
"164","AICHI001_NALM6_24H:C01"
"165","AICHI001_NALM6_24H:C07"
"166","AICHI001_NALM6_24H:D07"
"167","AICHI001_NALM6_24H:D19"
"168","AICHI001_NALM6_24H:E19"
"169","AICHI001_NALM6_24H:H01"
"170","AICHI001_NALM6_24H:H07"
"171","AICHI001_NALM6_24H:H13"
"172","AICHI001_NALM6_24H:I01"
"173","AICHI001_NALM6_24H:J07"
"174","AICHI001_NALM6_24H:K13"
"175","AICHI001_NALM6_24H:M01"
"176","AICHI001_NALM6_24H:M07"
"177","AICHI001_NALM6_24H:M13"
"178","AICHI001_NALM6_24H:M19"
"179","AICHI001_NALM6_24H:N01"
"180","AICHI001_NALM6_24H:N13"
"181","AICHI001_NALM6_24H:P13"
"182","AICHI001_OCILY10_24H:D07"
"183","AICHI001_OCILY10_24H:J07"
"184","AICHI001_OCILY10_24H:K13"
"185","AICHI001_OCILY10_24H:L01"
"186","AICHI001_OCILY10_24H:M13"
"187","AICHI001_OCILY10_24H:N01"
"188","AICHI001_OCILY10_24H:N07"
"189","AICHI001_OCILY19_24H:D07"
"190","AICHI001_OCILY19_24H:E19"
"191","AICHI001_OCILY19_24H:H01"
"192","AICHI001_OCILY19_24H:I01"
"193","AICHI001_OCILY19_24H:J07"
"194","AICHI001_OCILY19_24H:K13"
"195","AICHI001_OCILY19_24H:L01"
"196","AICHI001_OCILY19_24H:M07"
"197","AICHI001_OCILY19_24H:M13"
"198","AICHI001_OCILY19_24H:N07"
"199","AICHI001_OCILY19_24H:N13"
"200","AICHI001_OCILY3_24H:A07"
"201","AICHI001_OCILY3_24H:A13"
"202","AICHI001_OCILY3_24H:B07"
"203","AICHI001_OCILY3_24H:C07"
"204","AICHI001_OCILY3_24H:D01"
"205","AICHI001_OCILY3_24H:D19"
"206","AICHI001_OCILY3_24H:E19"
"207","AICHI001_OCILY3_24H:G01"
"208","AICHI001_OCILY3_24H:H01"
"209","AICHI001_OCILY3_24H:H07"
"210","AICHI001_OCILY3_24H:I01"
"211","AICHI001_OCILY3_24H:I13"
"212","AICHI001_OCILY3_24H:K01"
"213","AICHI001_OCILY3_24H:K13"
"214","AICHI001_OCILY3_24H:L01"
"215","AICHI001_OCILY3_24H:M01"
"216","AICHI001_OCILY3_24H:N01"
"217","AICHI001_OCILY3_24H:N07"
"218","AICHI001_SKMEL5_24H:A07"
"219","AICHI001_SKMEL5_24H:A13"
"220","AICHI001_SKMEL5_24H:A19"
"221","AICHI001_SKMEL5_24H:B07"
"222","AICHI001_SKMEL5_24H:B13"
"223","AICHI001_SKMEL5_24H:B19"
"224","AICHI001_SKMEL5_24H:C01"
"225","AICHI001_SKMEL5_24H:D01"
"226","AICHI001_SKMEL5_24H:D07"
"227","AICHI001_SKMEL5_24H:D19"
"228","AICHI001_SKMEL5_24H:F19"
"229","AICHI001_SKMEL5_24H:G01"
"230","AICHI001_SKMEL5_24H:H01"
"231","AICHI001_SKMEL5_24H:H07"
"232","AICHI001_SKMEL5_24H:H13"
"233","AICHI001_SKMEL5_24H:I01"
"234","AICHI001_SKMEL5_24H:I13"
"235","AICHI001_SKMEL5_24H:J07"
"236","AICHI001_SKMEL5_24H:K01"
"237","AICHI001_SKMEL5_24H:K13"
"238","AICHI001_SKMEL5_24H:K19"
"239","AICHI001_SKMEL5_24H:M01"
"240","AICHI001_SKMEL5_24H:M13"
"241","AICHI001_SKMEL5_24H:M19"
"242","AICHI001_SKMEL5_24H:N01"
"243","AICHI001_SKMEL5_24H:N07"
"244","AICHI001_SKMEL5_24H:N13"
"245","AICHI001_SKMEL5_24H:O13"
"246","AICHI001_THP1_24H:A07"
"247","AICHI001_THP1_24H:A13"
"248","AICHI001_THP1_24H:A19"
"249","AICHI001_THP1_24H:B07"
"250","AICHI001_THP1_24H:B13"
"251","AICHI001_THP1_24H:B19"
"252","AICHI001_THP1_24H:C01"
"253","AICHI001_THP1_24H:C07"
"254","AICHI001_THP1_24H:D01"
"255","AICHI001_THP1_24H:D19"
"256","AICHI001_THP1_24H:F19"
"257","AICHI001_THP1_24H:G01"
"258","AICHI001_THP1_24H:H01"
"259","AICHI001_THP1_24H:H07"
"260","AICHI001_THP1_24H:H13"
"261","AICHI001_THP1_24H:I01"
"262","AICHI001_THP1_24H:I13"
"263","AICHI001_THP1_24H:J07"
"264","AICHI001_THP1_24H:K01"
"265","AICHI001_THP1_24H:K13"
"266","AICHI001_THP1_24H:L01"
"267","AICHI001_THP1_24H:M01"
"268","AICHI001_THP1_24H:M07"
"269","AICHI001_THP1_24H:M13"
"270","AICHI001_THP1_24H:M19"
"271","AICHI001_THP1_24H:N01"
"272","AICHI001_THP1_24H:N07"
"273","AICHI001_THP1_24H:N13"
"274","AICHI001_THP1_24H:O13"
"275","AICHI001_THP1_24H:P13"
"276","AICHI001_TMD8_24H:A07"
"277","AICHI001_TMD8_24H:A13"
"278","AICHI001_TMD8_24H:A19"
"279","AICHI001_TMD8_24H:B07"
"280","AICHI001_TMD8_24H:B19"
"281","AICHI001_TMD8_24H:C01"
"282","AICHI001_TMD8_24H:D01"
"283","AICHI001_TMD8_24H:D19"
"284","AICHI001_TMD8_24H:E19"
"285","AICHI001_TMD8_24H:G01"
"286","AICHI001_TMD8_24H:H01"
"287","AICHI001_TMD8_24H:H07"
"288","AICHI001_TMD8_24H:H13"
"289","AICHI001_TMD8_24H:I01"
"290","AICHI001_TMD8_24H:I13"
"291","AICHI001_TMD8_24H:J07"
"292","AICHI001_TMD8_24H:K01"
"293","AICHI001_TMD8_24H:K13"
"294","AICHI001_TMD8_24H:L01"
"295","AICHI001_TMD8_24H:M01"
"296","AICHI001_TMD8_24H:M07"
"297","AICHI001_TMD8_24H:M13"
"298","AICHI001_TMD8_24H:N01"
"299","AICHI001_TMD8_24H:N07"
"300","AICHI001_TMD8_24H:N13"
"301","AICHI001_TMD8_24H:P13"
"302","AICHI002_BJAB_24H:B07"
"303","AICHI002_BJAB_24H:B13"
"304","AICHI002_BJAB_24H:B19"
"305","AICHI002_BJAB_24H:C01"
"306","AICHI002_BJAB_24H:C13"
"307","AICHI002_BJAB_24H:D01"
"308","AICHI002_BJAB_24H:E01"
"309","AICHI002_BJAB_24H:F01"
"310","AICHI002_BJAB_24H:F19"
"311","AICHI002_BJAB_24H:G01"
"312","AICHI002_BJAB_24H:H07"
"313","AICHI002_BJAB_24H:K19"
"314","AICHI002_BJAB_24H:L07"
"315","AICHI002_BJAB_24H:L13"
"316","AICHI002_BJAB_24H:M19"
"317","AICHI002_BJAB_24H:N13"
"318","AICHI002_HBL1_24H:A07"
"319","AICHI002_HBL1_24H:A19"
"320","AICHI002_HBL1_24H:B07"
"321","AICHI002_HBL1_24H:B13"
"322","AICHI002_HBL1_24H:C01"
"323","AICHI002_HBL1_24H:C07"
"324","AICHI002_HBL1_24H:C13"
"325","AICHI002_HBL1_24H:D01"
"326","AICHI002_HBL1_24H:E01"
"327","AICHI002_HBL1_24H:F01"
"328","AICHI002_HBL1_24H:G01"
"329","AICHI002_HBL1_24H:H01"
"330","AICHI002_HBL1_24H:H07"
"331","AICHI002_HBL1_24H:I19"
"332","AICHI002_HBL1_24H:J19"
"333","AICHI002_HBL1_24H:K19"
"334","AICHI002_HBL1_24H:L13"
"335","AICHI002_HBL1_24H:N01"
"336","AICHI002_HBL1_24H:N07"
"337","AICHI002_HBL1_24H:N13"
"338","AICHI002_K562_24H:A07"
"339","AICHI002_K562_24H:A19"
"340","AICHI002_K562_24H:B07"
"341","AICHI002_K562_24H:B13"
"342","AICHI002_K562_24H:B19"
"343","AICHI002_K562_24H:C01"
"344","AICHI002_K562_24H:C07"
"345","AICHI002_K562_24H:C13"
"346","AICHI002_K562_24H:E01"
"347","AICHI002_K562_24H:F01"
"348","AICHI002_K562_24H:F19"
"349","AICHI002_K562_24H:H01"
"350","AICHI002_K562_24H:H07"
"351","AICHI002_K562_24H:H13"
"352","AICHI002_K562_24H:I19"
"353","AICHI002_K562_24H:J07"
"354","AICHI002_K562_24H:J19"
"355","AICHI002_K562_24H:K19"
"356","AICHI002_K562_24H:L07"
"357","AICHI002_K562_24H:L13"
"358","AICHI002_K562_24H:L19"
"359","AICHI002_K562_24H:M19"
"360","AICHI002_K562_24H:N01"
"361","AICHI002_K562_24H:N07"
"362","AICHI002_KMS34_24H:B07"
"363","AICHI002_KMS34_24H:B13"
"364","AICHI002_KMS34_24H:B19"
"365","AICHI002_KMS34_24H:C07"
"366","AICHI002_KMS34_24H:C13"
"367","AICHI002_KMS34_24H:D01"
"368","AICHI002_KMS34_24H:E01"
"369","AICHI002_KMS34_24H:F01"
"370","AICHI002_KMS34_24H:G01"
"371","AICHI002_KMS34_24H:H01"
"372","AICHI002_KMS34_24H:H07"
"373","AICHI002_KMS34_24H:J19"
"374","AICHI002_KMS34_24H:K19"
"375","AICHI002_KMS34_24H:L07"
"376","AICHI002_KMS34_24H:L13"
"377","AICHI002_MINO_24H:B07"
"378","AICHI002_MINO_24H:B13"
"379","AICHI002_MINO_24H:B19"
"380","AICHI002_MINO_24H:C01"
"381","AICHI002_MINO_24H:C07"
"382","AICHI002_MINO_24H:E01"
"383","AICHI002_MINO_24H:F01"
"384","AICHI002_MINO_24H:G01"
"385","AICHI002_MINO_24H:H13"
"386","AICHI002_MINO_24H:I19"
"387","AICHI002_MINO_24H:J07"
"388","AICHI002_MINO_24H:J19"
"389","AICHI002_MINO_24H:L07"
"390","AICHI002_MINO_24H:L13"
"391","AICHI002_MINO_24H:N13"
"392","AICHI002_NALM6_24H:B13"
"393","AICHI002_NALM6_24H:B19"
"394","AICHI002_NALM6_24H:C01"
"395","AICHI002_NALM6_24H:C07"
"396","AICHI002_NALM6_24H:C13"
"397","AICHI002_NALM6_24H:D01"
"398","AICHI002_NALM6_24H:H07"
"399","AICHI002_NALM6_24H:H13"
"400","AICHI002_NALM6_24H:J19"
"401","AICHI002_NALM6_24H:K19"
"402","AICHI002_NALM6_24H:N13"
"403","AICHI002_OCILY10_24H:B07"
"404","AICHI002_OCILY10_24H:B13"
"405","AICHI002_OCILY10_24H:H01"
"406","AICHI002_OCILY10_24H:J19"
"407","AICHI002_OCILY10_24H:K19"
"408","AICHI002_OCILY19_24H:B07"
"409","AICHI002_OCILY19_24H:B13"
"410","AICHI002_OCILY19_24H:B19"
"411","AICHI002_OCILY19_24H:C01"
"412","AICHI002_OCILY19_24H:C13"
"413","AICHI002_OCILY19_24H:G01"
"414","AICHI002_OCILY19_24H:H01"
"415","AICHI002_OCILY19_24H:H13"
"416","AICHI002_OCILY19_24H:K19"
"417","AICHI002_OCILY19_24H:N13"
"418","AICHI002_OCILY3_24H:A07"
"419","AICHI002_OCILY3_24H:B07"
"420","AICHI002_OCILY3_24H:B13"
"421","AICHI002_OCILY3_24H:C01"
"422","AICHI002_OCILY3_24H:C07"
"423","AICHI002_OCILY3_24H:C13"
"424","AICHI002_OCILY3_24H:D01"
"425","AICHI002_OCILY3_24H:E01"
"426","AICHI002_OCILY3_24H:F01"
"427","AICHI002_OCILY3_24H:F19"
"428","AICHI002_OCILY3_24H:G01"
"429","AICHI002_OCILY3_24H:H01"
"430","AICHI002_OCILY3_24H:H07"
"431","AICHI002_OCILY3_24H:I19"
"432","AICHI002_OCILY3_24H:K19"
"433","AICHI002_OCILY3_24H:L07"
"434","AICHI002_OCILY3_24H:L13"
"435","AICHI002_SKMEL5_24H:A19"
"436","AICHI002_SKMEL5_24H:B07"
"437","AICHI002_SKMEL5_24H:B13"
"438","AICHI002_SKMEL5_24H:B19"
"439","AICHI002_SKMEL5_24H:C01"
"440","AICHI002_SKMEL5_24H:C07"
"441","AICHI002_SKMEL5_24H:C13"
"442","AICHI002_SKMEL5_24H:E01"
"443","AICHI002_SKMEL5_24H:F01"
"444","AICHI002_SKMEL5_24H:F19"
"445","AICHI002_SKMEL5_24H:G01"
"446","AICHI002_SKMEL5_24H:H07"
"447","AICHI002_SKMEL5_24H:H13"
"448","AICHI002_SKMEL5_24H:I19"
"449","AICHI002_SKMEL5_24H:J07"
"450","AICHI002_SKMEL5_24H:J19"
"451","AICHI002_SKMEL5_24H:K19"
"452","AICHI002_SKMEL5_24H:L07"
"453","AICHI002_SKMEL5_24H:L13"
"454","AICHI002_SKMEL5_24H:M19"
"455","AICHI002_SKMEL5_24H:N01"
"456","AICHI002_THP1_24H:A07"
"457","AICHI002_THP1_24H:A19"
"458","AICHI002_THP1_24H:B07"
"459","AICHI002_THP1_24H:B13"
"460","AICHI002_THP1_24H:B19"
"461","AICHI002_THP1_24H:C01"
"462","AICHI002_THP1_24H:C07"
"463","AICHI002_THP1_24H:C13"
"464","AICHI002_THP1_24H:D01"
"465","AICHI002_THP1_24H:F01"
"466","AICHI002_THP1_24H:F19"
"467","AICHI002_THP1_24H:H01"
"468","AICHI002_THP1_24H:H07"
"469","AICHI002_THP1_24H:H13"
"470","AICHI002_THP1_24H:I19"
"471","AICHI002_THP1_24H:J07"
"472","AICHI002_THP1_24H:J19"
"473","AICHI002_THP1_24H:K19"
"474","AICHI002_THP1_24H:L07"
"475","AICHI002_THP1_24H:L13"
"476","AICHI002_THP1_24H:N13"
"477","AICHI002_TMD8_24H:A19"
"478","AICHI002_TMD8_24H:B07"
"479","AICHI002_TMD8_24H:C01"
"480","AICHI002_TMD8_24H:C07"
"481","AICHI002_TMD8_24H:C13"
"482","AICHI002_TMD8_24H:D01"
"483","AICHI002_TMD8_24H:F01"
"484","AICHI002_TMD8_24H:G01"
"485","AICHI002_TMD8_24H:H01"
"486","AICHI002_TMD8_24H:H07"
"487","AICHI002_TMD8_24H:H13"
"488","AICHI002_TMD8_24H:H19"
"489","AICHI002_TMD8_24H:J07"
"490","AICHI002_TMD8_24H:J19"
"491","AICHI002_TMD8_24H:K19"
"492","AICHI002_TMD8_24H:L13"
"493","AICHI002_TMD8_24H:N13"
"494","AML001_CD34_24H:BRD-A75409952:10"
"495","AML001_CD34_24H:BRD-K21918725:10"
"496","AML001_CD34_24H:BRD-K27316855:10"
"497","AML001_CD34_24H:BRD-K71879491:10"
"498","AML001_HL60_24H:BRD-A95504714:10"
"499","AML001_U937_24H:BRD-A19037878:10"
"500","AML001_U937_24H:BRD-A19500257:10"
"501","AML001_U937_24H:BRD-A72796238:10"
"502","AML001_U937_24H:BRD-A75409952:10"
"503","AML001_U937_24H:BRD-A95504714:10"
"504","AML001_U937_24H:BRD-K05456756:10"
"505","AML001_U937_24H:BRD-K13077924:10"
"506","AML001_U937_24H:BRD-K21918725:10"
"507","AML001_U937_24H:BRD-K27316855:10"
"508","AML001_U937_24H:BRD-K71879491:10"
"509","ASG003_U2OS_24H:A04"
"510","ASG003_U2OS_24H:A16"
"511","ASG003_U2OS_24H:A22"
"512","ASG003_U2OS_24H:B04"
"513","ASG003_U2OS_24H:B10"
"514","ASG003_U2OS_24H:B16"
"515","ASG003_U2OS_24H:B19"
"516","ASG003_U2OS_24H:C07"
"517","ASG003_U2OS_24H:C10"
"518","ASG003_U2OS_24H:C13"
"519","ASG003_U2OS_24H:D01"
"520","ASG003_U2OS_24H:D04"
"521","ASG003_U2OS_24H:D07"
"522","ASG003_U2OS_24H:D13"
"523","ASG003_U2OS_24H:D19"
"524","ASG003_U2OS_24H:D22"
"525","ASG003_U2OS_24H:E01"
"526","ASG003_U2OS_24H:E04"
"527","ASG003_U2OS_24H:E10"
"528","ASG003_U2OS_24H:E13"
"529","ASG003_U2OS_24H:E22"
"530","ASG003_U2OS_24H:F19"
"531","ASG003_U2OS_24H:G07"
"532","ASG003_U2OS_24H:G10"
"533","ASG003_U2OS_24H:H07"
"534","ASG003_U2OS_24H:H16"
"535","ASG003_U2OS_24H:I01"
"536","ASG003_U2OS_24H:J01"
"537","ASG003_U2OS_24H:J07"
"538","ASG003_U2OS_24H:K16"
"539","ASG003_U2OS_24H:K22"
"540","ASG003_U2OS_24H:L07"
"541","ASG003_U2OS_24H:L10"
"542","ASG003_U2OS_24H:L13"
"543","ASG003_U2OS_24H:L16"
"544","ASG003_U2OS_24H:L22"
"545","ASG003_U2OS_24H:M22"
"546","ASG003_U2OS_24H:N01"
"547","ASG003_U2OS_24H:N04"
"548","ASG003_U2OS_24H:N16"
"549","ASG003_U2OS_24H:N22"
"550","ASG003_U2OS_24H:O07"
"551","ASG003_U2OS_24H:O16"
"552","ASG003_U2OS_24H:P07"
"553","ASG003_U2OS_24H:P13"
"554","ASG003_U2OS_24H:P19"
"555","ASG003_U2OS_24H:P22"
"556","ASG003_WA09.AST_24H:A07"
"557","ASG003_WA09.AST_24H:A10"
"558","ASG003_WA09.AST_24H:A13"
"559","ASG003_WA09.AST_24H:A16"
"560","ASG003_WA09.AST_24H:A22"
"561","ASG003_WA09.AST_24H:B04"
"562","ASG003_WA09.AST_24H:B07"
"563","ASG003_WA09.AST_24H:B10"
"564","ASG003_WA09.AST_24H:B16"
"565","ASG003_WA09.AST_24H:B19"
"566","ASG003_WA09.AST_24H:B22"
"567","ASG003_WA09.AST_24H:C01"
"568","ASG003_WA09.AST_24H:C04"
"569","ASG003_WA09.AST_24H:C07"
"570","ASG003_WA09.AST_24H:C10"
"571","ASG003_WA09.AST_24H:C13"
"572","ASG003_WA09.AST_24H:D01"
"573","ASG003_WA09.AST_24H:D04"
"574","ASG003_WA09.AST_24H:D07"
"575","ASG003_WA09.AST_24H:D10"
"576","ASG003_WA09.AST_24H:D13"
"577","ASG003_WA09.AST_24H:D19"
"578","ASG003_WA09.AST_24H:D22"
"579","ASG003_WA09.AST_24H:E04"
"580","ASG003_WA09.AST_24H:E07"
"581","ASG003_WA09.AST_24H:E10"
"582","ASG003_WA09.AST_24H:E13"
"583","ASG003_WA09.AST_24H:E19"
"584","ASG003_WA09.AST_24H:F01"
"585","ASG003_WA09.AST_24H:F04"
"586","ASG003_WA09.AST_24H:F10"
"587","ASG003_WA09.AST_24H:F13"
"588","ASG003_WA09.AST_24H:F22"
"589","ASG003_WA09.AST_24H:G01"
"590","ASG003_WA09.AST_24H:G04"
"591","ASG003_WA09.AST_24H:G07"
"592","ASG003_WA09.AST_24H:G10"
"593","ASG003_WA09.AST_24H:G22"
"594","ASG003_WA09.AST_24H:H01"
"595","ASG003_WA09.AST_24H:H04"
"596","ASG003_WA09.AST_24H:H07"
"597","ASG003_WA09.AST_24H:H13"
"598","ASG003_WA09.AST_24H:H16"
"599","ASG003_WA09.AST_24H:H19"
"600","ASG003_WA09.AST_24H:I01"
"601","ASG003_WA09.AST_24H:I04"
"602","ASG003_WA09.AST_24H:I07"
"603","ASG003_WA09.AST_24H:I10"
"604","ASG003_WA09.AST_24H:I13"
"605","ASG003_WA09.AST_24H:I22"
"606","ASG003_WA09.AST_24H:J01"
"607","ASG003_WA09.AST_24H:J07"
"608","ASG003_WA09.AST_24H:J10"
"609","ASG003_WA09.AST_24H:J16"
"610","ASG003_WA09.AST_24H:J19"
"611","ASG003_WA09.AST_24H:J22"
"612","ASG003_WA09.AST_24H:K04"
"613","ASG003_WA09.AST_24H:K13"
"614","ASG003_WA09.AST_24H:K16"
"615","ASG003_WA09.AST_24H:K19"
"616","ASG003_WA09.AST_24H:K22"
"617","ASG003_WA09.AST_24H:L01"
"618","ASG003_WA09.AST_24H:L04"
"619","ASG003_WA09.AST_24H:L07"
"620","ASG003_WA09.AST_24H:L10"
"621","ASG003_WA09.AST_24H:L13"
"622","ASG003_WA09.AST_24H:L16"
"623","ASG003_WA09.AST_24H:L19"
"624","ASG003_WA09.AST_24H:L22"
"625","ASG003_WA09.AST_24H:M01"
"626","ASG003_WA09.AST_24H:M10"
"627","ASG003_WA09.AST_24H:M19"
"628","ASG003_WA09.AST_24H:M22"
"629","ASG003_WA09.AST_24H:N01"
"630","ASG003_WA09.AST_24H:N04"
"631","ASG003_WA09.AST_24H:N16"
"632","ASG003_WA09.AST_24H:N19"
"633","ASG003_WA09.AST_24H:N22"
"634","ASG003_WA09.AST_24H:O07"
"635","ASG003_WA09.AST_24H:O16"
"636","ASG003_WA09.AST_24H:O19"
"637","ASG003_WA09.AST_24H:P01"
"638","ASG003_WA09.AST_24H:P07"
